,,omega,omegaProp,psi,psiAvgProp
8238364a06d8159bf8c99b1dfb173c33f58045caf15b0ea8c797c52c4bc983d9,,1.0,1.0,0.0,0.0
866beb5d0d01dd76590fcc0ab7b431beeaeae4b5c192489cc16279cef2c95891,,1.0,1.0,0.0,0.0
52522fa0636e5c0c8fd49aad5511e51cd6a47279a473d61b0d2dabcb18d751fe,,1.0,1.0,0.0,0.0
81a04e1c0fa2dd59eee2f339b73fa3a13c97f5aa7ed7b17fdcd3f421c9c4e831,,1.0,1.0,0.0,0.0
e087c8c14c2d9e654fcec9f8ed498afaecba57dff50b8fc34fbca64dda403122,,1.0,1.0,0.0,0.0
9f9351a061febeea05cc486ac7a586b4f0a17104cba22e624057147c29f11642,,1.0,1.0,0.0,0.0
a36a659f9081e133181ca4078f5b3e8d0729e310038bda6b2164fe81a6679b3a,,1.0,1.0,0.0,0.0
527e3b5de28ff643b1a8ece32fb4e828389f052a0eb3b304a9d698e5d3a0e858,,1.0,1.0,0.0,0.0
a48372462a6b99b2ea4ea8bbffbdf14904ed3a938c73cc3fde27f1f93a1ed2d6,,1.0,1.0,0.0,0.0
351f86d8a6a7573aa2b70708c7c32a0f3af10b801dd5e3bc74c7f942df429761,,1.0,1.0,0.0,0.0
18bdb0eaa130fcbc91b8e497cc4d352ad2d9735ec390cfc5e0d7e895f2acaee4,,1.0,1.0,1.0,1.0
227a6a4cc0238a2da8552d36057c20a28dc63c913d0ee766753cb0207039d682,,1.0,1.0,0.0,0.0
1a58bdce59f244bbb1069d04452e92137f591a5bd63f0a800623ebc1c5e9ec7d,,1.0,1.0,1.0,1.0
